DISTRICT,PER_TURN_ALL,PER_TURN_INEXP,PER_TURN_EXP
NYC GEOG DIST #29 - QUEENS,0.14,0.17,0.12825562700964632
NYC GEOG DIST #30 - QUEENS,0.13,0.14,0.12478865083960625
NYC GEOG DIST #31 - STATEN ISLAND,0.11,0.1,0.11371695178849145
LEWISTON-PORTER CSD,0.08,0.14,0.07652173913043478
LOCKPORT CITY SD,0.08,0.06,0.08255737704918033
NEWFANE CSD,0.09,0.4,0.06367924528301887
NIAGARA-WHEATFIELD CSD,0.03,0.06,0.025421686746987953
NIAGARA FALLS CITY SD,0.1,0.07,0.10329268292682925
NORTH TONAWANDA CITY SD,0.13,0.21,0.10908256880733945
STARPOINT CSD,0.1,0.42,0.06514851485148516
ROYALTON-HARTLAND CSD,0.14,0.33,0.12168674698795183
BARKER CSD,0.08,0.5,0.06666666666666667
WILSON CSD,0.05,0.0,0.054945054945054944
ADIRONDACK CSD,0.1,0.43,0.06546511627906977
CAMDEN CSD,0.11,0.0,0.12213793103448277
CLINTON CSD,0.07,0.2,0.05728260869565218
NEW HARTFORD CSD,0.07,0.13,0.06393617021276596
NY MILLS UFSD,0.22,0.29,0.20157894736842105
SAUQUOIT VALLEY CSD,0.05,0.18,0.034705882352941184
REMSEN CSD,0.15,0.75,0.10135135135135136
ROME CITY SD,0.1,0.15,0.09134615384615384
WATERVILLE CSD,0.11,0.13,0.10555555555555554
SHERRILL CITY SD,0.09,0.14,0.08236641221374046
HOLLAND PATENT CSD,0.13,0.23,0.1031958762886598
UTICA CITY SD,0.1,0.16,0.0896969696969697
WESTMORELAND CSD,0.16,0.13,0.16944444444444443
ORISKANY CSD,0.22,0.47,0.15452380952380954
WHITESBORO CSD,0.07,0.21,0.06339055793991417
WEST GENESEE CSD,0.15,0.33,0.14723076923076925
NORTH SYRACUSE CSD,0.06,0.11,0.055775862068965516
EAST SYRACUSE MINOA CSD,0.15,0.1,0.15717391304347825
JAMESVILLE-DEWITT CSD,0.06,0.19,0.04594594594594595
JORDAN-ELBRIDGE CSD,0.06,0.0,0.06593406593406594
FABIUS-POMPEY CSD,0.14,0.25,0.1250847457627119
WESTHILL CSD,0.14,0.15,0.1384426229508197
SOLVAY UFSD,0.08,0.17,0.06703389830508474
LAFAYETTE CSD,0.09,0.0,0.0984
BALDWINSVILLE CSD,0.08,0.2,0.07243243243243244
FAYETTEVILLE-MANLIUS CSD,0.08,0.32,0.06679611650485437
MARCELLUS CSD,0.1,0.29,0.09554687500000002
ONONDAGA CSD,0.14,0.0,0.16366197183098594
LIVERPOOL CSD,0.14,0.31,0.11299776286353469
LYNCOURT UFSD,0.15,0.2,0.14545454545454542
SKANEATELES CSD,0.15,0.0,0.1598130841121495
SYRACUSE CITY SD,0.13,0.17,0.11331147540983608
TULLY CSD,0.21,0.2,0.21085714285714283
CANANDAIGUA CITY SD,0.11,0.3,0.07029850746268657
EAST BLOOMFIELD CSD,0.19,0.42,0.15223880597014924
GENEVA CITY SD,0.18,0.25,0.15310975609756097
GORHAM-MIDDLESEX CSD (MARCUS WHITMAN,0.08,0.07,0.08157303370786517
MANCHESTER-SHORTSVILLE CSD (RED JACK,0.18,0.17,0.18410714285714283
NAPLES CSD,0.07,0.22,0.05285714285714287
PHELPS-CLIFTON SPRINGS CSD,0.09,0.2,0.0781294964028777
HONEOYE CSD,0.17,0.18,0.16703703703703704
VICTOR CSD,0.12,0.22,0.11151515151515151
WASHINGTONVILLE CSD,0.12,0.31,0.06439024390243901
CHESTER UFSD,0.09,0.13,0.07914285714285713
CORNWALL CSD,0.12,0.39,0.10225352112676055
PINE BUSH CSD,0.1,0.1,0.1
GOSHEN CSD,0.15,0.44,0.08926701570680627
HIGHLAND FALLS CSD,0.11,0.25,0.09
MIDDLETOWN CITY SD,0.1,0.15,0.08950850661625709
MINISINK VALLEY CSD,0.12,0.18,0.11561538461538459
MONROE-WOODBURY CSD,0.05,0.11,0.03759090909090909
KIRYAS JOEL VILLAGE UFSD,0.15,0.17,0.13823529411764704
VALLEY CSD (MONTGOMERY),0.1,0.23,0.09060240963855422
NEWBURGH CITY SD,0.07,0.13,0.06024813895781638
PORT JERVIS CITY SD,0.07,0.23,0.042923076923076925
TUXEDO UFSD,0.2,0.11,0.2
WARWICK VALLEY CSD,0.08,0.2,0.061538461538461535
GREENWOOD LAKE UFSD,0.13,0.33,0.10777777777777776
FLORIDA UFSD,0.07,0.25,0.05119402985074628
ALBION CSD,0.05,0.11,0.04318181818181819
KENDALL CSD,0.1,0.2,0.07586206896551725
HOLLEY CSD,0.1,0.1,0.09999999999999999
MEDINA CSD,0.12,0.27,0.09702702702702702
LYNDONVILLE CSD,0.24,0.63,0.16687499999999997
ALTMAR-PARISH-WILLIAMSTOWN CSD,0.14,0.11,0.15094594594594596
FULTON CITY SD,0.1,0.18,0.07463414634146341
HANNIBAL CSD,0.12,0.2,0.09037037037037038
CENTRAL SQUARE CSD,0.1,0.37,0.06790983606557377
MEXICO CSD,0.12,0.05,0.1249044585987261
OSWEGO CITY SD,0.07,0.11,0.06182978723404256
PULASKI CSD,0.1,0.0,0.10519480519480519
SANDY CREEK CSD,0.07,0.0,0.07100000000000001
PHOENIX CSD,0.09,0.09,0.09
GILBERTSVILLE-MOUNT UPTON CSD,0.26,1.0,0.0323076923076923
EDMESTON CSD,0.17,0.38,0.12058823529411766
LAURENS CSD,0.15,0.29,0.11266666666666668
SCHENEVUS CSD,0.2,0.3,0.10000000000000002
MILFORD CSD,0.1,0.0,0.11000000000000001
MORRIS CSD,0.23,0.14,0.2463636363636364
ONEONTA CITY SD,0.09,0.27,0.06410071942446043
OTEGO-UNADILLA CSD,0.17,0.33,0.15344827586206897
COOPERSTOWN CSD,0.1,0.0,0.10555555555555556
RICHFIELD SPRINGS CSD,0.19,0.44,0.14348837209302326
CHERRY VALLEY-SPRINGFIELD CSD,0.27,0.42,0.21843750000000003
WORCESTER CSD,0.09,0.0,0.09620689655172414
MAHOPAC CSD,0.05,0.14,0.04319767441860465
CARMEL CSD,0.1,0.32,0.07868512110726644
HALDANE CSD,0.08,0.25,0.07068493150684932
GARRISON UFSD,0.3,0.4,0.23999999999999994
PUTNAM VALLEY CSD,0.06,0.0,0.06156521739130435
BREWSTER CSD,0.1,0.24,0.06532110091743121
BERLIN CSD,0.06,0.25,0.039178082191780816
BRUNSWICK CSD (BRITTONKILL),0.23,0.33,0.22333333333333336
EAST GREENBUSH CSD,0.08,0.22,0.07027190332326284
HOOSICK FALLS CSD,0.06,0.0,0.06272727272727273
LANSINGBURGH CSD,0.13,0.25,0.08976047904191618
NORTH GREENBUSH COMN SD (WILLIAMS),0.5,1.0,0.5
WYNANTSKILL UFSD,0.25,0.67,0.13545454545454544
RENSSELAER CITY SD,0.19,0.63,0.11235294117647057
AVERILL PARK CSD,0.12,0.13,0.11925287356321837
HOOSIC VALLEY CSD,0.07,0.13,0.05950000000000001
SCHODACK CSD,0.2,0.53,0.16390625000000003
TROY CITY SD,0.17,0.34,0.12601398601398603
CLARKSTOWN CSD,0.05,0.18,0.03059390048154094
NANUET UFSD,0.09,0.11,0.08806818181818182
HAVERSTRAW-STONY POINT CSD (NORTH RO,0.14,0.19,0.13329896907216499
SOUTH ORANGETOWN CSD,0.07,0.17,0.058750000000000004
NYACK UFSD,0.1,0.21,0.08232142857142857
PEARL RIVER UFSD,0.1,0.15,0.09441340782122906
SUFFERN CSD,0.08,0.16,0.07676300578034682
EAST RAMAPO CSD (SPRING VALLEY),0.12,0.22,0.09433628318584071
BRASHER FALLS CSD,0.06,0.17,0.04216216216216216
CANTON CSD,0.13,0.29,0.12111111111111111
CLIFTON-FINE CSD,0.22,0.25,0.2116
COLTON-PIERREPONT CSD,0.09,0.0,0.1157142857142857
GOUVERNEUR CSD,0.11,0.14,0.099468085106383
HAMMOND CSD,0.11,0.0,0.11423076923076923
HERMON-DEKALB CSD,0.11,0.0,0.13655172413793104
LISBON CSD,0.19,0.17,0.20379310344827586
MADRID-WADDINGTON CSD,0.04,0.0,0.04148148148148149
MASSENA CSD,0.11,0.26,0.08921686746987952
MORRISTOWN CSD,0.36,0.57,0.23590909090909093
NORWOOD-NORFOLK CSD,0.18,0.2,0.17402985074626867
OGDENSBURG CITY SD,0.12,0.09,0.12486486486486487
HEUVELTON CSD,0.13,0.13,0.13
PARISHVILLE-HOPKINTON CSD,0.08,0.17,0.06363636363636364
POTSDAM CSD,0.12,0.29,0.10091836734693878
EDWARDS-KNOX CSD,0.06,0.08,0.04466666666666665
BURNT HILLS-BALLSTON LAKE CSD,0.11,0.27,0.08161290322580643
SHENENDEHOWA CSD,0.1,0.42,0.06615863141524107
CORINTH CSD,0.18,0.26,0.15449275362318837
EDINBURG COMMON SD,0.33,0.0,0.55
GALWAY CSD,0.11,0.4,0.03935897435897435
MECHANICVILLE CITY SD,0.17,0.22,0.1627710843373494
BALLSTON SPA CSD,0.06,0.04,0.06124999999999999
SOUTH GLENS FALLS CSD,0.13,0.38,0.11106060606060607
SCHUYLERVILLE CSD,0.03,0.22,0.016209677419354838
SARATOGA SPRINGS CITY SD,0.14,0.53,0.09676674364896075
STILLWATER CSD,0.12,0.42,0.09692307692307693
WATERFORD-HALFMOON UFSD,0.03,0.0,0.03208333333333333
DUANESBURG CSD,0.21,0.39,0.15399999999999997
SCOTIA-GLENVILLE CSD,0.09,0.43,0.0764
NISKAYUNA CSD,0.11,0.29,0.08212121212121211
SCHALMONT CSD,0.13,0.5,0.1005072463768116
ROTTERDAM-MOHONASEN CSD,0.05,0.12,0.03682795698924732
SCHENECTADY CITY SD,0.17,0.18,0.16890850722311399
GILBOA-CONESVILLE CSD,0.19,0.5,0.09565217391304348
JEFFERSON CSD,0.38,0.63,0.06750000000000005
MIDDLEBURGH CSD,0.12,0.18,0.10581818181818183
COBLESKILL-RICHMONDVILLE CSD,0.13,0.2,0.12043165467625898
SCHOHARIE CSD,0.12,0.0,0.12705882352941178
SHARON SPRINGS CSD,0.07,0.0,0.075
ODESSA-MONTOUR CSD,0.15,0.11,0.1570175438596491
WATKINS GLEN CSD,0.2,0.29,0.16676923076923078
SOUTH SENECA CSD,0.21,0.5,0.17484848484848484
ROMULUS CSD,0.18,0.23,0.17027777777777775
SENECA FALLS CSD,0.06,0.05,0.06199999999999999
WATERLOO CSD,0.12,0.19,0.10455882352941176
ADDISON CSD,0.07,0.13,0.06372093023255815
AVOCA CSD,0.13,0.0,0.16611111111111113
BATH CSD,0.1,0.31,0.07584070796460177
BRADFORD CSD,0.16,0.18,0.15047619047619049
CAMPBELL-SAVONA CSD,0.15,0.25,0.11984126984126982
CORNING CITY SD,0.09,0.18,0.08289473684210527
CANISTEO-GREENWOOD CSD,0.1,0.13,0.09538461538461537
HORNELL CITY SD,0.19,0.5,0.17616071428571428
ARKPORT CSD,0.08,0.09,0.07710526315789473
PRATTSBURGH CSD,0.14,0.33,0.07892857142857145
JASPER-TROUPSBURG CSD,0.24,0.43,0.10516129032258063
HAMMONDSPORT CSD,0.12,0.18,0.10829268292682925
WAYLAND-COHOCTON CSD,0.16,0.23,0.1476470588235294
BABYLON UFSD,0.12,0.3,0.08461538461538463
WEST BABYLON UFSD,0.09,0.5,0.06894259818731117
NORTH BABYLON UFSD,0.06,0.16,0.05019607843137255
LINDENHURST UFSD,0.1,0.46,0.07066079295154185
COPIAGUE UFSD,0.12,0.39,0.07499999999999998
AMITYVILLE UFSD,0.11,0.17,0.0963106796116505
DEER PARK UFSD,0.08,0.18,0.06858858858858859
WYANDANCH UFSD,0.11,0.04,0.1226
THREE VILLAGE CSD,0.12,0.44,0.087725321888412
BROOKHAVEN-COMSEWOGUE UFSD,0.07,0.24,0.05041152263374487
SACHEM CSD,0.08,0.26,0.054466588511137164
PORT JEFFERSON UFSD,0.17,0.5,0.14066666666666666
MT SINAI UFSD,0.13,0.51,0.10236363636363636
MILLER PLACE UFSD,0.12,0.3,0.06445714285714287
ROCKY POINT UFSD,0.06,0.08,0.05765258215962441
MIDDLE COUNTRY CSD,0.09,0.33,0.07026845637583892
LONGWOOD CSD,0.08,0.16,0.07227953410981697
PATCHOGUE-MEDFORD UFSD,0.1,0.22,0.06801652892561984
WILLIAM FLOYD UFSD,0.09,0.31,0.04445614035087719
CENTER MORICHES UFSD,0.06,0.25,0.03417475728155339
EAST MORICHES UFSD,0.14,0.44,0.1053846153846154
SOUTH COUNTRY CSD,0.08,0.24,0.06453172205438067
EAST HAMPTON UFSD,0.1,0.17,0.08714285714285716
WAINSCOTT COMN SD,0.0,0.0,0.0
AMAGANSETT UFSD,0.25,0.0,0.25
SPRINGS UFSD,0.23,0.47,0.2093103448275862
SAG HARBOR UFSD,0.13,0.32,0.08957446808510638
MONTAUK UFSD,0.24,0.13,0.29719999999999996
ELWOOD UFSD,0.07,0.45,0.047380952380952385
COLD SPRING HARBOR CSD,0.1,0.3,0.06875
HUNTINGTON UFSD,0.11,0.25,0.08512048192771084
NORTHPORT-EAST NORTHPORT UFSD,0.18,0.32,0.15905511811023623
HALF HOLLOW HILLS CSD,0.05,0.14,0.042679425837320574
HARBORFIELDS CSD,0.08,0.17,0.07280000000000002
COMMACK UFSD,0.11,0.59,0.07933920704845816
SOUTH HUNTINGTON UFSD,0.1,0.39,0.07183222958057396
BAY SHORE UFSD,0.09,0.25,0.0639696312364425
ISLIP UFSD,0.14,0.33,0.09849514563106795
EAST ISLIP UFSD,0.1,0.32,0.07105263157894737
SAYVILLE UFSD,0.06,0.18,0.043507109004739336
BAYPORT-BLUE POINT UFSD,0.09,0.5,0.055188679245283014
HAUPPAUGE UFSD,0.07,0.22,0.05082706766917294
CONNETQUOT CSD,0.11,0.38,0.06984913793103449
WEST ISLIP UFSD,0.09,0.41,0.04914893617021277
BRENTWOOD UFSD,0.05,0.11,0.042960586617781855
CENTRAL ISLIP UFSD,0.1,0.1,0.1
FIRE ISLAND UFSD,0.0,0.0,0.0
SHOREHAM-WADING RIVER CSD,0.15,0.39,0.11240963855421685
RIVERHEAD CSD,0.12,0.26,0.10372972972972971
LITTLE FLOWER UFSD,0.05,0.0,0.05
SHELTER ISLAND UFSD,0.14,0.25,0.12666666666666668
SMITHTOWN CSD,0.06,0.29,0.04468986384266263
KINGS PARK CSD,0.09,0.16,0.07787878787878788
REMSENBURG-SPEONK UFSD,0.14,0.0,0.16333333333333336
WESTHAMPTON BEACH UFSD,0.05,0.19,0.04125
QUOGUE UFSD,0.13,1.0,0.13
HAMPTON BAYS UFSD,0.1,0.08,0.10427586206896552
SOUTHAMPTON UFSD,0.1,0.28,0.07720000000000002
BRIDGEHAMPTON UFSD,0.19,0.33,0.1505128205128205
SAGAPONACK COMN SD,0.0,,
EASTPORT-SOUTH MANOR CSD,0.09,0.32,0.06555555555555556
TUCKAHOE COMN SD,0.21,,
EAST QUOGUE UFSD,0.15,0.4,0.14193548387096772
OYSTERPONDS UFSD,0.14,0.5,0.08000000000000002
FISHERS ISLAND UFSD,0.17,,
SOUTHOLD UFSD,0.05,0.14,0.04763157894736842
GREENPORT UFSD,0.18,0.25,0.15511111111111112
MATTITUCK-CUTCHOGUE UFSD,0.11,0.24,0.07782178217821782
NEW SUFFOLK COMN SD,0.29,0.0,0.3314285714285714
FALLSBURG CSD,0.08,0.16,0.06689655172413794
ELDRED CSD,0.07,0.14,0.044545454545454555
LIBERTY CSD,0.09,0.14,0.07291666666666667
TRI-VALLEY CSD,0.16,0.16,0.16
ROSCOE CSD,0.12,0.17,0.1075
LIVINGSTON MANOR CSD,0.17,0.25,0.16489361702127658
MONTICELLO CSD,0.11,0.22,0.08296610169491528
SULLIVAN WEST CSD,0.13,0.33,0.09052631578947368
WAVERLY CSD,0.05,0.1,0.04272727272727274
CANDOR CSD,0.13,0.0,0.15522388059701492
NEWARK VALLEY CSD,0.14,0.1,0.14878048780487807
OWEGO-APALACHIN CSD,0.08,0.31,0.050428571428571434
SPENCER-VAN ETTEN CSD,0.18,0.33,0.16541666666666666
TIOGA CSD,0.12,0.18,0.10984615384615383
DRYDEN CSD,0.1,0.27,0.08097902097902097
GEORGE JUNIOR REPUBLIC UFSD,0.24,0.0,0.2611764705882353
GROTON CSD,0.27,0.28,0.26138888888888884
ITHACA CITY SD,0.15,0.23,0.12394402035623409
LANSING CSD,0.1,0.0,0.12840909090909092
NEWFIELD CSD,0.18,0.21,0.16999999999999998
TRUMANSBURG CSD,0.19,0.27,0.1719047619047619
WEST PARK UFSD,,,
KINGSTON CITY SD,0.08,0.13,0.0705781584582441
HIGHLAND CSD,0.11,0.19,0.0857142857142857
RONDOUT VALLEY CSD,0.1,0.08,0.10549295774647888
MARLBORO CSD,0.04,0.17,-0.0029921259842519746
NEW PALTZ CSD,0.06,0.19,0.05505434782608695
ONTEORA CSD,0.07,0.43,0.053125000000000006
SAUGERTIES CSD,0.08,0.5,0.06714285714285714
WALLKILL CSD,0.09,0.29,0.06169811320754716
ELLENVILLE CSD,0.14,0.22,0.12787878787878787
BOLTON CSD,0.08,,
NORTH WARREN CSD,0.14,0.0,0.1453846153846154
GLENS FALLS CITY SD,0.14,0.26,0.12490566037735851
JOHNSBURG CSD,0.11,,
LAKE GEORGE CSD,0.16,0.38,0.14513513513513515
HADLEY-LUZERNE CSD,0.09,0.09,0.08999999999999998
QUEENSBURY UFSD,0.12,0.37,0.10611111111111111
GLENS FALLS COMN SD,0.29,,
WARRENSBURG CSD,0.15,0.31,0.12161290322580644
ARGYLE CSD,0.1,0.25,0.08043478260869566
FORT ANN CSD,0.05,0.0,0.05945945945945946
FORT EDWARD UFSD,0.06,0.2,0.021111111111111105
GRANVILLE CSD,0.17,0.26,0.14585365853658536
GREENWICH CSD,0.14,0.14,0.14
HARTFORD CSD,0.06,0.25,0.047872340425531915
HUDSON FALLS CSD,0.09,0.21,0.08028901734104045
PUTNAM CSD,0.22,0.0,0.22
SALEM CSD,0.08,0.5,0.03418181818181818
CAMBRIDGE CSD,0.13,0.33,0.11309859154929576
WHITEHALL CSD,0.22,0.22,0.22
NEWARK CSD,0.2,0.21,0.19698795180722894
CLYDE-SAVANNAH CSD,0.19,0.19,0.19000000000000003
LYONS CSD,0.09,0.06,0.09794117647058823
MARION CSD,0.21,0.57,0.09230769230769233
WAYNE CSD,0.18,0.36,0.1534969325153374
PALMYRA-MACEDON CSD,0.15,0.27,0.13542857142857143
GANANDA CSD,0.15,0.33,0.10443037974683544
SODUS CSD,0.14,0.29,0.12611111111111115
WILLIAMSON CSD,0.11,0.23,0.08857142857142858
NORTH ROSE-WOLCOTT CSD,0.25,0.48,0.20250000000000004
RED CREEK CSD,0.1,0.22,0.08080000000000001
KATONAH-LEWISBORO UFSD,0.09,0.21,0.06753424657534246
BEDFORD CSD,0.09,0.34,0.07253968253968253
CROTON-HARMON UFSD,0.1,0.29,0.07755905511811025
HENDRICK HUDSON CSD,0.07,0.19,0.04768844221105529
EASTCHESTER UFSD,0.05,0.2,0.0425
TUCKAHOE UFSD,0.1,0.33,0.08405940594059406
BRONXVILLE UFSD,0.1,0.25,0.09311926605504588
UFSD-TARRYTOWNS,0.08,0.2,0.06464454976303317
IRVINGTON UFSD,0.14,0.09,0.14445544554455447
DOBBS FERRY UFSD,0.08,0.3,0.04764705882352942
HASTINGS-ON-HUDSON UFSD,0.11,0.57,0.0914765100671141
ARDSLEY UFSD,0.1,0.33,0.08591836734693878
EDGEMONT UFSD,0.09,0.4,0.06385542168674697
GREENBURGH CSD,0.63,0.82,0.6012121212121213
ELMSFORD UFSD,0.12,0.11,0.12056179775280898
GREENBURGH-GRAHAM UFSD,0.19,0.4,0.1808695652173913
GREENBURGH ELEVEN UFSD,0.19,0.0,0.2185
GREENBURGH-NORTH CASTLE UFSD,0.15,0.15,0.15
HARRISON CSD,0.12,0.32,0.07121951219512193
MAMARONECK UFSD,0.1,0.27,0.07864102564102565
MT PLEASANT CSD,0.08,0.53,0.05724719101123596
POCANTICO HILLS CSD,0.17,0.4,0.1351515151515152
HAWTHORNE-CEDAR KNOLLS UFSD,0.31,1.0,0.31
MT PLEASANT-COTTAGE UFSD,0.17,0.23,0.15
VALHALLA UFSD,0.13,0.5,0.09448000000000002
MT PLEASANT-BLYTHEDALE UFSD,0.12,0.5,0.04874999999999999
PLEASANTVILLE UFSD,0.09,0.22,0.08376712328767123
MT VERNON SCHOOL DISTRICT,0.2,0.27,0.19200845665961946
CHAPPAQUA CSD,0.16,0.54,0.13162337662337661
NEW ROCHELLE CITY SD,0.13,0.27,0.11661442006269593
BYRAM HILLS CSD,0.11,0.5,0.09588235294117647
NORTH SALEM CSD,0.06,0.0,0.0654054054054054
OSSINING UFSD,0.27,0.35,0.2529602888086642
BRIARCLIFF MANOR UFSD,0.11,0.25,0.10042735042735043
PEEKSKILL CITY SD,0.09,0.21,0.06609022556390977
PELHAM UFSD,0.06,0.25,0.048772727272727266
RYE CITY SD,0.08,0.38,0.05888888888888889
RYE NECK UFSD,0.09,0.21,0.0825
PORT CHESTER-RYE UFSD,0.16,0.2,0.14933333333333335
BLIND BROOK-RYE UFSD,0.13,0.42,0.08495145631067962
SCARSDALE UFSD,0.09,0.18,0.07011627906976743
SOMERS CSD,0.07,0.15,0.05750000000000001
WHITE PLAINS CITY SD,0.09,0.14,0.08298597194388777
YONKERS CITY SD,0.07,0.03,0.0723021582733813
LAKELAND CSD,0.06,0.2,0.045740740740740735
YORKTOWN CSD,0.11,0.18,0.1016304347826087
ATTICA CSD,0.17,0.19,0.16722772277227724
LETCHWORTH CSD,0.1,0.23,0.08411111111111112
WYOMING CSD,0.0,0.0,0.0
PERRY CSD,0.06,0.14,0.039178082191780816
WARSAW CSD,0.15,0.25,0.12012987012987013
PENN YAN CSD,0.09,0.17,0.07985074626865671
DUNDEE CSD,0.16,0.21,0.1424074074074074
